1,14
2,14
3,14
4,14
5,14
6,6
7,14
8,12
9,14
10,12
11,14
12,12
13,12
14,12
15,12
16,12
17,12
18,12
19,12
20,12
21,12
22,12
23,12
24,12
25,12
26,12
27,12
28,12
29,12
30,12
31,14
32,12
33,14
34,12
35,12
36,12
37,12
38,14
39,14
40,14
41,12
42,12
43,12
44,12
45,14
46,12
47,14
48,14
49,12
50,12
51,12
52,12
53,12
54,12
55,12
56,12
57,12
58,12
59,12
60,12
61,12
62,14
63,12
64,12
65,12
66,12
67,14
68,14
69,12
70,12
71,14
72,12
73,12
74,12
75,12
76,14
77,12
78,12
79,12
80,14
81,12
82,12
83,12
84,12
85,12
86,12
87,12
88,12
89,12
90,12
91,12
92,12
93,12
94,12
95,12
96,12
97,12
98,12
99,12
100,14
101,14
102,12
103,12
104,12
105,12
106,12
107,12
108,12
109,12
110,12
111,12
112,12
113,12
114,12
115,12
116,12
117,12
118,12
119,12
120,12
121,12
122,12
123,12
124,12
125,12
126,12
127,12
128,12
129,12
130,12
131,12
132,12
133,12
134,12
135,12
136,12
137,12
138,14
139,12
140,12
141,12
142,12
143,12
144,12
145,12
146,12
147,12
148,12
149,12
150,12
151,14
152,12
153,12
154,12
155,12
156,12
157,12
158,6
159,12
160,12
161,12
162,12
163,12
164,14
165,12
166,12
167,12
168,12
169,12
170,14
171,12
172,12
173,12
174,14
175,12
176,12
177,12
178,12
179,12
180,12
181,12
182,12
183,12
184,12
185,12
186,12
187,12
188,12
189,12
190,12
191,12
192,12
193,12
194,12
195,14
196,12
197,12
198,12
199,12
200,12
201,12
202,12
203,12
204,12
205,12
206,12
207,12
208,12
209,12
210,12
211,12
212,12
213,12
214,14
215,12
216,12
217,12
218,12
219,12
220,12
221,12
222,12
223,12
224,12
225,6
226,12
227,12
228,12
229,12
230,12
231,12
232,12
233,12
234,14
235,12
236,12
237,14
238,12
239,12
240,12
241,12
242,12
243,12
244,12
245,12
246,12
247,12
248,12
249,12
250,12
251,12
252,14
253,12
254,12
255,12
256,12
257,12
258,12
259,12
260,12
261,12
262,12
263,12
264,12
265,14
266,12
267,12
268,12
269,12
270,12
271,12
272,12
273,14
274,12
275,12
276,12
277,14
278,12
279,12
280,12
281,12
282,14
283,12
284,12
285,12
286,14
287,12
288,12
289,12
290,12
291,12
292,6
293,12
294,12
295,12
296,12
297,12
298,12
299,12
300,12
301,12
302,12
303,12
304,12
305,12
306,12
307,12
308,12
309,12
310,14
311,12
312,12
313,12
314,12
315,12
316,12
317,12
318,12
319,12
320,12
321,12
322,12
323,12
324,12
325,12
326,12
327,12
328,14
329,12
330,12
331,14
332,14
333,12
334,12
335,14
336,12
337,12
338,12
339,12
340,12
341,12
342,12
343,12
344,12
345,12
346,12
347,14
348,12
349,12
350,12
351,12
352,12
353,12
354,12
355,12
356,12
357,12
358,12
359,12
360,12
361,12
362,12
363,12
364,12
365,12
366,12
367,12
368,12
369,12
370,12
371,12
372,12
373,12
374,12
375,12
376,12
377,12
378,12
379,12
380,12
381,12
382,12
383,12
384,12
385,12
386,12
387,12
388,12
389,12
390,12
391,12
392,12
393,12
394,12
395,12
396,12
397,12
398,12
399,12
400,14
401,12
402,12
403,12
404,10
405,12
406,12
407,12
408,12
409,12
410,12
411,12
412,12
413,12
414,12
415,12
416,12
417,12
418,12
419,12
420,12
421,12
422,12
423,12
424,12
425,12
426,12
427,12
428,12
429,12
430,12
431,14
432,12
433,12
434,12
435,12
