1,0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,15.0
1,4,0.0,0.0,0.0,0.0,0.0
2,0,0.0,13.5,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0,10.0
2,4,0.0,0.0,0.0,0.0,0.0
3,0,0.0,9.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0,18.0
3,4,0.0,0.0,0.0,0.0,0.0
4,0,0.0,16.2,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0,8.0
4,4,0.0,0.0,0.0,0.0,0.0
5,0,0.0,7.199999999999999,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0,13.0
5,4,0.0,0.0,0.0,0.0,0.0
6,0,0.0,11.700000000000001,0.0,0.0,0.0
6,1,0.0,0.0,0.0,0.0,10.0
6,4,0.0,0.0,0.0,0.0,0.0
7,0,0.0,9.0,0.0,0.0,0.0
7,1,0.0,0.0,0.0,0.0,14.0
7,4,0.0,0.0,0.0,0.0,0.0
8,0,0.0,12.6,0.0,0.0,0.0
8,1,0.0,0.0,0.0,0.0,9.0
8,4,0.0,0.0,0.0,0.0,0.0
9,0,0.0,8.1,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0,17.0
9,4,0.0,0.0,0.0,0.0,0.0
10,0,0.0,15.3,0.0,0.0,0.0
10,1,0.0,0.0,0.0,0.0,8.0
10,4,0.0,0.0,0.0,0.0,0.0
11,0,0.0,7.199999999999999,0.0,0.0,0.0
11,1,0.0,0.0,0.0,0.0,7.0
11,4,0.0,0.0,0.0,0.0,0.0
12,0,0.0,6.3,0.0,0.0,0.0
12,1,0.0,0.0,0.0,0.0,17.0
12,4,0.0,0.0,0.0,0.0,0.0
13,0,0.0,15.3,0.0,0.0,0.0
13,1,0.0,0.0,0.0,0.0,9.0
13,4,0.0,0.0,0.0,0.0,0.0
14,0,0.0,8.1,0.0,0.0,0.0
14,1,0.0,0.0,0.0,0.0,13.0
14,4,0.0,0.0,0.0,0.0,0.0
15,0,0.0,11.700000000000001,0.0,0.0,0.0
15,1,0.0,0.0,0.0,0.0,8.0
15,4,0.0,0.0,0.0,0.0,0.0
16,0,0.0,7.2,0.0,0.0,0.0
16,1,0.0,0.0,0.0,0.0,6.0
16,4,0.0,0.0,0.0,0.0,0.0
17,0,0.0,5.4,0.0,0.0,0.0
17,1,0.0,0.0,0.0,0.0,16.0
17,4,0.0,0.0,0.0,0.0,0.0
18,0,0.0,14.4,0.0,0.0,0.0
18,1,0.0,0.0,0.0,0.0,13.0
18,4,0.0,0.0,0.0,0.0,0.0
19,0,0.0,11.700000000000001,0.0,0.0,0.0
19,1,0.0,0.0,0.0,0.0,10.0
19,4,0.0,0.0,0.0,0.0,0.0
20,0,0.0,9.0,0.0,0.0,0.0
20,1,0.0,0.0,0.0,0.0,14.0
20,4,0.0,0.0,0.0,0.0,0.0
21,0,0.0,12.6,0.0,0.0,0.0
21,1,0.0,0.0,0.0,0.0,18.0
21,4,0.0,0.0,0.0,0.0,0.0
22,0,0.0,16.2,0.0,0.0,0.0
22,1,0.0,0.0,0.0,0.0,13.0
22,4,0.0,0.0,0.0,0.0,0.0
23,0,0.0,11.700000000000001,0.0,0.0,0.0
23,1,0.0,0.0,0.0,0.0,14.0
23,4,0.0,0.0,0.0,0.0,0.0
24,0,0.0,12.6,0.0,0.0,0.0
24,1,0.0,0.0,0.0,0.0,11.0
24,4,0.0,0.0,0.0,0.0,0.0
25,0,0.0,9.9,0.0,0.0,0.0
25,1,0.0,0.0,0.0,0.0,16.0
25,4,0.0,0.0,0.0,0.0,0.0
26,0,0.0,14.4,0.0,0.0,0.0
26,1,0.0,0.0,0.0,0.0,12.0
26,4,0.0,0.0,0.0,0.0,0.0
27,0,0.0,10.8,0.0,0.0,0.0
27,1,0.0,0.0,0.0,0.0,15.0
27,4,0.0,0.0,0.0,0.0,0.0
28,0,0.0,13.5,0.0,0.0,0.0
28,1,0.0,0.0,0.0,0.0,12.0
28,4,0.0,0.0,0.0,0.0,0.0
29,0,0.0,10.8,0.0,0.0,0.0
29,1,0.0,0.0,0.0,0.0,12.0
29,4,0.0,0.0,0.0,0.0,0.0
30,0,0.0,10.8,0.0,0.0,0.0
30,1,0.0,0.0,0.0,0.0,12.0
30,4,0.0,0.0,0.0,0.0,0.0
31,0,0.0,10.8,0.0,0.0,0.0
31,1,0.0,0.0,0.0,0.0,13.0
31,4,0.0,0.0,0.0,0.0,0.0
32,0,0.0,11.700000000000001,0.0,0.0,0.0
32,1,0.0,0.0,0.0,0.0,13.0
32,4,0.0,0.0,0.0,0.0,0.0
33,0,0.0,11.700000000000001,0.0,0.0,0.0
33,1,0.0,0.0,0.0,0.0,7.0
33,4,0.0,0.0,0.0,0.0,0.0
34,0,0.0,6.3,0.0,0.0,0.0
34,1,0.0,0.0,0.0,0.0,10.0
34,4,0.0,0.0,0.0,0.0,0.0
35,0,0.0,9.0,0.0,0.0,0.0
35,1,0.0,0.0,0.0,0.0,10.0
35,4,0.0,0.0,0.0,0.0,0.0
36,0,0.0,9.0,0.0,0.0,0.0
36,1,0.0,0.0,0.0,0.0,10.0
36,4,0.0,0.0,0.0,0.0,0.0
37,0,0.0,9.0,0.0,0.0,0.0
37,1,0.0,0.0,0.0,0.0,10.0
