1,0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0,20.0
1,4,0.0,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,20.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,20.0
2,4,0.0,0.0,0.0,0.0,0.0
3,0,0.0,20.0,0.0,0.0,0.0
3,1,0.0,0.0,20.0,0.0,0.0
3,2,0.0,0.0,0.0,0.0,20.0
3,4,0.0,0.0,0.0,0.0,0.0
4,0,0.0,20.0,0.0,0.0,0.0
4,1,0.0,0.0,20.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,20.0
4,4,0.0,0.0,0.0,0.0,0.0
5,0,0.0,20.0,0.0,0.0,0.0
5,1,0.0,0.0,20.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0,20.0
5,4,0.0,0.0,0.0,0.0,0.0
6,0,0.0,20.0,0.0,0.0,0.0
6,1,0.0,0.0,20.0,0.0,0.0
6,2,0.0,0.0,0.0,0.0,20.0
6,4,0.0,0.0,0.0,0.0,0.0
7,0,0.0,20.0,0.0,0.0,0.0
7,1,0.0,0.0,20.0,0.0,16.0
7,2,0.0,0.0,0.0,0.0,20.0
7,4,0.0,0.0,0.0,0.0,0.0
8,0,0.0,20.0,0.0,0.0,0.0
8,1,0.0,0.0,20.0,0.0,16.0
8,2,0.0,0.0,0.0,0.0,20.0
8,4,0.0,0.0,0.0,0.0,0.0
9,0,0.0,20.0,0.0,0.0,0.0
9,1,0.0,0.0,20.0,0.0,16.0
9,2,0.0,0.0,0.0,0.0,20.0
9,4,0.0,0.0,0.0,0.0,0.0
10,0,0.0,20.0,0.0,0.0,0.0
10,1,0.0,0.0,20.0,0.0,16.0
10,2,0.0,0.0,0.0,0.0,20.0
10,4,0.0,0.0,0.0,0.0,0.0
11,0,0.0,20.0,0.0,0.0,0.0
11,1,0.0,0.0,20.0,0.0,16.0
11,2,0.0,0.0,0.0,0.0,20.0
11,4,0.0,0.0,0.0,0.0,0.0
12,0,0.0,20.0,0.0,0.0,0.0
12,1,0.0,0.0,20.0,0.0,16.0
12,2,0.0,0.0,0.0,0.0,20.0
12,4,0.0,0.0,0.0,0.0,0.0
13,0,0.0,20.0,0.0,0.0,0.0
13,1,0.0,0.0,20.0,0.0,16.0
13,2,0.0,0.0,0.0,0.0,20.0
13,4,0.0,0.0,0.0,0.0,0.0
14,0,0.0,20.0,0.0,0.0,0.0
14,1,0.0,0.0,20.0,0.0,16.0
14,2,0.0,0.0,0.0,0.0,20.0
14,4,0.0,0.0,0.0,0.0,0.0
15,0,0.0,20.0,0.0,0.0,0.0
15,1,0.0,0.0,20.0,0.0,16.0
15,2,0.0,0.0,0.0,0.0,20.0
15,4,0.0,0.0,0.0,0.0,0.0
16,0,0.0,20.0,0.0,0.0,0.0
16,1,0.0,0.0,20.0,0.0,16.0
16,2,0.0,0.0,0.0,0.0,20.0
16,4,0.0,0.0,0.0,0.0,0.0
17,0,0.0,20.0,0.0,0.0,0.0
17,1,0.0,0.0,20.0,0.0,16.0
17,2,0.0,0.0,0.0,0.0,20.0
17,4,0.0,0.0,0.0,0.0,0.0
18,0,0.0,20.0,0.0,0.0,0.0
18,1,0.0,0.0,20.0,0.0,16.0
18,2,0.0,0.0,0.0,0.0,20.0
18,4,0.0,0.0,0.0,0.0,0.0
19,0,0.0,20.0,0.0,0.0,0.0
19,1,0.0,0.0,20.0,0.0,16.0
19,2,0.0,0.0,0.0,0.0,20.0
19,4,0.0,0.0,0.0,0.0,0.0
20,0,0.0,20.0,0.0,0.0,0.0
20,1,0.0,0.0,20.0,0.0,16.0
20,2,0.0,0.0,0.0,0.0,20.0
20,4,0.0,0.0,0.0,0.0,0.0
21,0,0.0,20.0,0.0,0.0,0.0
21,1,0.0,0.0,20.0,0.0,16.0
21,2,0.0,0.0,0.0,0.0,20.0
21,4,0.0,0.0,0.0,0.0,0.0
22,0,0.0,20.0,0.0,0.0,0.0
22,1,0.0,0.0,20.0,0.0,16.0
22,2,0.0,0.0,0.0,0.0,20.0
22,4,0.0,0.0,0.0,0.0,0.0
23,0,0.0,20.0,0.0,0.0,0.0
23,1,0.0,0.0,20.0,0.0,16.0
23,2,0.0,0.0,0.0,0.0,20.0
23,4,0.0,0.0,0.0,0.0,0.0
24,0,0.0,20.0,0.0,0.0,0.0
24,1,0.0,0.0,20.0,0.0,16.0
24,2,0.0,0.0,0.0,0.0,20.0
24,4,0.0,0.0,0.0,0.0,0.0
25,0,0.0,20.0,0.0,0.0,0.0
25,1,0.0,0.0,20.0,0.0,16.0
25,2,0.0,0.0,0.0,0.0,20.0
25,4,0.0,0.0,0.0,0.0,0.0
26,0,0.0,20.0,0.0,0.0,0.0
26,1,0.0,0.0,20.0,0.0,16.0
26,2,0.0,0.0,0.0,0.0,20.0
26,4,0.0,0.0,0.0,0.0,0.0
27,0,0.0,20.0,0.0,0.0,0.0
27,1,0.0,0.0,20.0,0.0,16.0
27,2,0.0,0.0,0.0,0.0,20.0
27,4,0.0,0.0,0.0,0.0,0.0
28,0,0.0,20.0,0.0,0.0,0.0
28,1,0.0,0.0,20.0,0.0,16.0
28,2,0.0,0.0,0.0,0.0,20.0
28,4,0.0,0.0,0.0,0.0,0.0
29,0,0.0,20.0,0.0,0.0,0.0
29,1,0.0,0.0,20.0,0.0,16.0
29,2,0.0,0.0,0.0,0.0,20.0
29,4,0.0,0.0,0.0,0.0,0.0
30,0,0.0,20.0,0.0,0.0,0.0
30,1,0.0,0.0,20.0,0.0,16.0
30,2,0.0,0.0,0.0,0.0,20.0
30,4,0.0,0.0,0.0,0.0,0.0
31,0,0.0,20.0,0.0,0.0,0.0
31,1,0.0,0.0,20.0,0.0,16.0
31,2,0.0,0.0,0.0,0.0,20.0
31,4,0.0,0.0,0.0,0.0,0.0
32,0,0.0,20.0,0.0,0.0,0.0
32,1,0.0,0.0,20.0,0.0,16.0
32,2,0.0,0.0,0.0,0.0,20.0
32,4,0.0,0.0,0.0,0.0,0.0
33,0,0.0,20.0,0.0,0.0,0.0
33,1,0.0,0.0,20.0,0.0,16.0
33,2,0.0,0.0,0.0,0.0,20.0
33,4,0.0,0.0,0.0,0.0,0.0
34,0,0.0,20.0,0.0,0.0,0.0
34,1,0.0,0.0,20.0,0.0,16.0
34,2,0.0,0.0,0.0,0.0,20.0
34,4,0.0,0.0,0.0,0.0,0.0
35,0,0.0,20.0,0.0,0.0,0.0
35,1,0.0,0.0,20.0,0.0,16.0
35,2,0.0,0.0,0.0,0.0,20.0
35,4,0.0,0.0,0.0,0.0,0.0
36,0,0.0,20.0,0.0,0.0,18.0
36,1,0.0,0.0,20.0,0.0,16.0
36,2,0.0,0.0,0.0,0.0,20.0
36,4,0.0,0.0,0.0,0.0,0.0
37,0,0.0,20.0,0.0,0.0,18.0
37,1,0.0,0.0,20.0,0.0,16.0
37,2,0.0,0.0,0.0,0.0,20.0
37,4,0.0,0.0,0.0,0.0,0.0
