1,i,i,i,t
2,i,i,z,t
3,i,x,z,t
4,i,x,z,t
5,i,x,z,t
6,i,x,z,t
7,i,x,z,t
8,i,x,z,t
9,i,x,z,t
10,i,x,z,t
11,i,x,z,t
12,i,x,z,t
13,i,x,z,t
14,i,x,z,t
15,i,x,z,t
16,i,x,z,t
17,i,x,z,t
18,i,x,z,t
19,i,x,z,t
20,i,x,z,t
21,i,x,z,t
22,i,x,z,t
23,i,x,z,t
24,i,x,z,t
25,i,x,z,t
26,i,x,z,t
27,i,x,z,t
28,i,x,z,t
29,i,x,z,t
30,i,x,z,t
31,i,x,z,t
32,i,x,z,t
33,i,x,z,t
34,i,x,z,t
35,i,x,z,t
36,i,x,z,t
37,i,x,z,t
38,i,x,z,t
39,i,x,z,t
40,i,x,z,t
41,i,x,z,t
42,i,x,z,t
43,i,x,z,t
44,i,x,z,t
45,i,x,z,t
46,i,x,z,t
47,i,x,z,t
48,i,x,z,t
49,i,x,z,t
50,i,x,z,t
51,i,x,z,t
52,i,x,z,t
53,i,x,z,t
54,i,x,z,t
55,i,x,z,t
56,i,x,z,t
57,i,x,z,t
58,i,x,z,t
59,i,x,z,t
60,i,x,z,t
61,i,x,z,t
62,i,x,z,t
63,i,x,z,t
64,i,x,z,t
65,i,x,z,t
66,i,x,z,t
67,i,x,z,t
68,i,x,z,t
69,i,x,z,t
70,i,x,z,t
71,i,x,z,t
72,i,x,z,t
73,i,x,z,t
74,i,x,z,t
75,i,x,z,t
76,i,x,z,t
77,i,x,z,t
78,i,x,z,t
79,i,x,z,t
80,i,x,z,t
81,i,x,z,t
82,i,x,z,t
83,i,x,z,t
84,i,x,z,t
85,i,x,z,t
86,i,x,z,t
87,i,x,z,t
88,i,x,z,t
89,i,x,z,t
90,i,x,z,t
91,i,x,z,t
92,i,x,z,t
93,i,x,z,t
94,i,x,z,t
95,i,x,z,t
96,i,x,z,t
97,i,x,z,t
98,i,x,z,t
99,i,x,z,t
100,i,x,z,t
101,i,x,z,t
102,i,x,z,t
103,i,x,z,t
104,i,x,z,t
105,i,x,z,t
106,i,x,z,t
107,i,x,z,t
108,i,x,z,t
109,i,x,z,t
110,i,x,z,t
111,i,x,z,t
112,i,x,z,t
113,i,x,z,t
114,i,x,z,t
115,i,x,z,t
116,i,x,z,t
117,i,x,z,t
118,i,x,z,t
119,i,x,z,t
120,i,x,z,t
121,i,x,z,t
122,i,x,z,t
123,i,x,z,t
124,i,x,z,t
125,i,x,z,t
126,i,x,z,t
127,i,x,z,t
128,i,x,z,t
129,i,x,z,t
130,i,x,z,t
131,i,x,z,t
132,i,x,z,t
133,i,x,z,t
134,i,x,z,t
135,i,x,z,t
136,i,x,z,t
137,i,x,z,t
138,i,x,z,t
139,i,x,z,t
140,i,x,z,t
141,i,x,z,t
142,i,x,z,t
143,i,x,z,t
144,i,x,z,t
145,i,x,z,t
146,i,x,z,t
147,i,x,z,t
148,i,x,z,t
149,i,x,z,t
150,i,x,z,t
151,i,x,z,t
152,i,x,z,t
153,i,x,z,t
154,i,x,z,t
155,i,x,z,t
156,i,x,z,t
157,i,x,z,t
158,i,x,z,t
159,i,x,z,t
160,i,x,z,t
161,i,x,z,t
162,i,x,z,t
163,i,x,z,t
164,i,x,z,t
165,i,x,z,t
166,i,x,z,t
167,i,x,z,t
168,i,x,z,t
169,i,x,z,t
170,i,x,z,t
171,i,x,z,t
172,i,x,z,t
173,i,x,z,t
174,i,x,z,t
175,i,x,z,t
176,i,x,z,t
177,i,x,z,t
178,i,x,z,t
179,i,x,z,t
180,i,x,z,t
181,i,x,z,t
182,i,x,z,t
183,i,x,z,t
184,i,x,z,t
185,i,x,z,t
186,i,x,z,t
187,i,x,z,t
188,i,x,z,t
189,i,x,z,t
190,i,x,z,t
191,i,x,z,t
192,i,x,z,t
193,i,x,z,t
194,i,x,z,t
195,i,x,z,t
196,i,x,z,t
197,i,x,z,t
198,i,x,z,t
199,i,x,z,t
200,i,x,z,t
201,i,x,z,t
202,i,x,z,t
203,i,x,z,t
204,i,x,z,t
205,i,x,z,t
206,i,x,z,t
207,i,x,z,t
208,i,x,z,t
209,i,x,z,t
210,i,x,z,t
211,i,x,z,t
212,i,x,z,t
213,i,x,z,t
214,i,x,z,t
215,i,x,z,t
216,i,x,z,t
217,i,x,z,t
218,i,x,z,t
219,i,x,z,t
220,i,x,z,t
221,i,x,z,t
222,i,x,z,t
223,i,x,z,t
224,i,x,z,t
225,i,x,z,t
226,i,x,z,t
227,i,x,z,t
228,i,x,z,t
229,i,x,z,t
230,i,x,z,t
231,i,x,z,t
232,i,x,z,t
233,i,x,z,t
234,i,x,z,t
235,i,x,z,t
236,i,x,z,t
237,i,x,z,t
238,i,x,z,t
239,i,x,z,t
240,i,x,z,t
241,i,x,z,t
242,i,x,z,t
243,i,x,z,t
244,i,x,z,t
245,i,x,z,t
246,i,x,z,t
247,i,x,z,t
248,i,x,z,t
249,i,x,z,t
250,i,x,z,t
251,i,x,z,t
252,i,x,z,t
253,i,x,z,t
254,i,x,z,t
255,i,x,z,t
256,i,x,z,t
257,i,x,z,t
258,i,x,z,t
259,i,x,z,t
260,i,x,z,t
261,i,x,z,t
262,i,x,z,t
263,i,x,z,t
264,i,x,z,t
265,i,x,z,t
266,i,x,z,t
267,i,x,z,t
268,i,x,z,t
269,i,x,z,t
270,i,x,z,t
271,i,x,z,t
272,i,x,z,t
273,i,x,z,t
274,i,x,z,t
275,i,x,z,t
276,i,x,z,t
277,i,x,z,t
278,i,x,z,t
279,i,x,z,t
280,i,x,z,t
281,i,x,z,t
282,i,x,z,t
283,i,x,z,t
284,i,x,z,t
285,i,x,z,t
286,i,x,z,t
287,i,x,z,t
288,i,x,z,t
289,i,x,z,t
290,i,x,z,t
291,i,x,z,t
292,i,x,z,t
293,i,x,z,t
294,i,x,z,t
295,i,x,z,t
296,i,x,z,t
297,i,x,z,t
298,i,x,z,t
299,i,x,z,t
300,i,x,z,t
301,i,x,z,t
302,i,x,z,t
303,i,x,z,t
304,i,x,z,t
305,i,x,z,t
306,i,x,z,t
307,i,x,z,t
308,i,x,z,t
309,i,x,z,t
310,i,x,z,t
311,i,x,z,t
312,i,x,z,t
313,i,x,z,t
314,i,x,z,t
315,i,x,z,t
316,i,x,z,t
317,i,x,z,t
318,i,x,z,t
319,i,x,z,t
320,i,x,z,t
321,i,x,z,t
322,i,x,z,t
323,i,x,z,t
324,i,x,z,t
325,i,x,z,t
326,i,x,z,t
327,i,x,z,t
328,i,x,z,t
329,i,x,z,t
330,i,x,z,t
331,i,x,z,t
332,i,x,z,t
333,i,x,z,t
334,i,x,z,t
335,i,x,z,t
336,i,x,z,t
337,i,x,z,t
338,i,x,z,t
339,i,x,z,t
340,i,x,z,t
341,i,x,z,t
342,i,x,z,t
343,i,x,z,t
344,i,x,z,t
345,i,x,z,t
346,i,x,z,t
347,i,x,z,t
348,i,x,z,t
349,i,x,z,t
350,i,x,z,t
351,i,x,z,t
352,i,x,z,t
353,i,x,z,t
354,i,x,z,t
355,i,x,z,t
356,i,x,z,t
357,i,x,z,t
358,i,x,z,t
359,i,x,z,t
360,i,x,z,t
361,i,x,z,t
362,i,x,z,t
363,i,x,z,t
364,i,x,z,t
365,i,x,z,t
366,i,x,z,t
367,i,x,z,t
368,i,x,z,t
369,i,x,z,t
370,i,x,z,t
371,i,x,z,t
372,i,x,z,t
373,i,x,z,t
374,i,x,z,t
375,i,x,z,t
376,i,x,z,t
377,i,x,z,t
378,i,x,z,t
379,i,x,z,t
380,i,x,z,t
381,i,x,z,t
382,i,x,z,t
383,i,x,z,t
384,i,x,z,t
385,i,x,z,t
386,i,x,z,t
387,i,x,z,t
388,i,x,z,t
389,i,x,z,t
390,i,x,z,t
391,i,x,z,t
392,i,x,z,t
393,i,x,z,t
394,i,x,z,t
395,i,x,z,t
396,i,x,z,t
397,i,x,z,t
398,i,x,z,t
399,i,x,z,t
400,i,x,z,t
401,i,x,z,t
402,i,x,z,t
403,i,x,z,t
404,i,x,z,t
405,i,x,z,t
406,i,x,z,t
407,i,x,z,t
408,i,x,z,t
409,i,x,z,t
410,i,x,z,t
411,i,x,z,t
412,i,x,z,t
413,i,x,z,t
414,i,x,z,t
415,i,x,z,t
416,i,x,z,t
417,i,x,z,t
418,i,x,z,t
419,i,x,z,t
420,i,x,z,t
421,i,x,z,t
422,i,x,z,t
423,i,x,z,t
424,i,x,z,t
425,i,x,z,t
426,i,x,z,t
427,i,x,z,t
428,i,x,z,t
429,i,x,z,t
430,i,x,z,t
431,i,x,z,t
432,i,x,z,t
433,i,x,z,t
434,i,x,z,t
435,i,x,z,t
436,i,x,z,t
437,i,x,z,t
438,i,x,z,t
439,i,x,z,t
440,i,x,z,t
441,i,x,z,t
442,i,x,z,t
443,i,x,z,t
444,i,x,z,t
445,i,x,z,t
446,i,x,z,t
447,i,x,z,t
448,i,x,z,t
449,i,x,z,t
450,i,x,z,t
451,i,x,z,t
452,i,x,z,t
453,i,x,z,t
454,i,x,z,t
455,i,x,z,t
456,i,x,z,t
457,i,x,z,t
458,i,x,z,t
459,i,x,z,t
460,i,x,z,t
461,i,x,z,t
462,i,x,z,t
463,i,x,z,t
464,i,x,z,t
465,i,x,z,t
466,i,x,z,t
467,i,x,z,t
468,i,x,z,t
469,i,x,z,t
470,i,x,z,t
471,i,x,z,t
472,i,x,z,t
473,i,x,z,t
474,i,x,z,t
475,i,x,z,t
476,i,x,z,t
477,i,x,z,t
478,i,x,z,t
479,i,x,z,t
480,i,x,z,t
481,i,x,z,t
482,i,x,z,t
483,i,x,z,t
484,i,x,z,t
485,i,x,z,t
486,i,x,z,t
487,i,x,z,t
488,i,x,z,t
489,i,x,z,t
490,i,x,z,t
491,i,x,z,t
492,i,x,z,t
493,i,x,z,t
494,i,x,z,t
495,i,x,z,t
496,i,x,z,t
497,i,x,z,t
498,i,x,z,t
499,i,x,z,t
500,i,x,z,t
