1,10
2,14
3,14
4,14
5,14
6,14
7,14
8,14
9,14
10,14
11,14
12,12
13,14
14,12
15,14
16,14
17,12
18,14
19,14
20,14
21,12
22,12
23,12
24,12
25,12
26,12
27,12
28,14
29,12
30,12
31,12
32,12
33,12
34,12
35,12
36,12
37,12
38,14
39,12
40,12
41,12
42,12
43,12
44,12
45,12
46,12
47,12
48,12
49,10
50,12
51,12
52,14
53,10
54,12
55,14
56,14
57,12
58,14
59,12
60,12
61,12
62,12
63,12
64,12
65,12
66,12
67,12
68,12
69,12
70,12
71,12
72,12
73,12
74,12
75,12
76,12
77,12
78,12
79,12
80,12
81,12
82,12
83,12
84,12
85,12
86,12
87,12
88,12
89,12
90,12
91,12
92,12
93,6
94,12
95,12
96,12
97,12
98,14
99,12
100,12
101,12
102,12
103,14
104,12
105,12
106,12
107,12
108,12
109,12
110,12
111,12
112,6
113,12
114,12
115,12
116,12
117,12
118,14
119,12
120,12
121,12
122,12
123,12
124,12
125,12
126,12
127,12
128,12
129,12
130,12
131,12
132,12
133,12
134,12
135,12
136,12
137,12
138,12
139,12
140,12
141,12
142,12
143,12
144,12
145,12
146,12
147,12
148,12
149,12
150,12
151,12
152,14
153,12
154,12
155,12
156,12
157,12
158,12
159,14
160,12
161,12
162,12
163,12
164,12
165,12
166,12
167,12
168,12
169,12
170,12
171,12
172,12
173,12
174,12
175,12
176,12
177,12
178,12
179,12
180,12
181,12
182,14
183,12
184,14
185,12
186,12
187,12
188,12
189,12
190,12
191,12
192,12
193,12
194,12
195,12
196,14
197,12
198,12
199,12
200,12
201,12
202,12
203,12
204,12
205,12
206,12
207,12
208,12
209,12
210,12
211,12
212,12
213,12
214,12
215,12
216,12
217,12
218,12
219,12
220,12
221,12
222,12
223,14
224,12
225,12
226,12
227,12
228,12
229,12
230,12
231,12
232,12
233,12
234,12
235,12
236,12
237,12
238,12
239,12
240,12
241,12
242,12
243,12
244,12
245,12
246,14
247,12
248,12
249,12
250,14
251,12
252,12
253,12
254,12
255,12
256,12
257,12
258,12
259,12
260,12
261,12
262,12
263,12
264,14
265,12
266,12
267,12
268,12
269,12
270,12
271,12
272,12
273,12
274,12
275,12
276,12
277,14
278,12
279,12
280,14
281,14
282,12
283,12
284,12
285,12
286,14
287,12
288,14
289,12
290,12
291,12
292,12
293,12
294,12
295,10
296,12
297,12
298,12
299,12
300,12
301,12
302,12
303,12
304,12
305,12
306,12
307,12
308,12
309,6
310,12
311,12
312,12
313,12
314,14
315,14
316,12
317,12
318,12
319,14
320,12
321,12
322,12
323,12
324,14
325,12
326,12
327,14
328,12
329,12
330,12
331,12
332,12
333,12
334,12
335,14
336,12
337,12
338,12
339,12
340,12
341,12
342,12
343,12
344,12
345,12
346,12
347,12
348,12
349,12
350,12
351,12
352,12
353,12
354,12
355,12
356,12
357,12
358,14
359,12
360,12
361,12
362,12
363,12
364,12
365,14
